amfi_code,cagr_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown_pct
100016,-2.224270997710287,1.2914623345912757,2.6352458116335464,-0.202,-0.351,0.0375,-0.0583,-24.73
100025,3.704968580461343,3.912747595303223,4.455091155784441,-0.567,-0.942,0.0428,0.0012,-4.31
100033,53.23239623092084,32.40850991427369,30.099703552874523,1.094,1.829,0.272,0.0051,-16.22
101206,47.92412023860102,28.937763405434435,23.520488754230385,1.027,1.8,0.214,0.0211,-11.29
101207,-23.986031710270627,-4.148672076178961,7.933120999915699,0.163,0.277,0.109,-0.0653,-35.45
101208,7.23664530138024,6.309843818780125,6.504429821332125,-0.816,-1.681,0.0609,0.0003,-0.16
102885,20.207703983094838,19.64765998294764,18.218826089343754,0.817,1.436,0.1705,-0.0195,-10.86
102886,-16.797480944407305,-0.7667088207006012,1.17093879842316,-0.206,-0.347,0.029,-0.0421,-28.0
102887,13.5831349444816,25.5301190076052,16.828673461948984,0.62,1.089,0.1621,0.0167,-21.54
118632,33.9810484550213,22.629511932923396,24.03119561352478,1.082,1.85,0.2183,-0.0084,-17.41
118633,25.539980483954096,21.068835853974164,16.262218000296524,0.645,1.154,0.1564,-0.0366,-18.63
118634,15.811221971300938,8.00033645293501,16.36139647659338,0.448,0.746,0.175,0.1035,-23.34
118635,22.493224932249344,19.988238972733384,15.94548118508252,0.665,1.138,0.1514,-0.0014,-11.65
118636,10.454939683040276,4.058424419537321,5.313155402760827,-0.357,-0.614,0.0507,0.0013,-8.32
119092,1.6091186722522632,0.5254060386508996,6.363494757718979,0.031,0.053,0.069,0.0097,-14.4
119093,19.7667410165155,20.795927128609048,7.891944369437343,0.13,0.221,0.0823,0.0259,-21.75
119094,22.261065131342207,35.074709086225695,28.192608222062464,0.998,1.704,0.2608,-0.0663,-20.96
119095,-42.797614558854406,-11.695776720110418,1.5204552427132478,-0.076,-0.128,0.048,-0.067,-51.68
119120,5.5219955107626895,5.834877479439982,5.885271270380055,-0.227,-0.377,0.0562,-0.0064,-4.33
119551,60.43734071403091,30.424881857729027,25.784920849464086,1.208,2.14,0.232,-0.0318,-15.01
119552,5.706100044974027,16.25138426608188,21.50802178549933,0.953,1.61,0.1987,-0.0262,-11.8
119598,82.77605861507405,26.64260140461172,32.398083984645545,0.945,1.675,0.3034,-0.0232,-28.71
119599,13.947803355189968,-1.3361745600875774,2.053064146209893,-0.057,-0.094,0.0488,0.062,-52.57
120503,8.489081269294418,13.964776200833583,18.771330105513616,0.798,1.338,0.177,-0.0403,-13.9
120504,13.064279264417976,32.45342649474243,23.277447532730513,1.027,1.805,0.2119,0.0162,-12.59
120505,29.604659337893647,31.74436308745623,32.801599480386166,1.18,2.029,0.2926,0.0005,-18.19
120506,41.81904829701364,18.403728511876327,17.072227512921923,0.649,1.096,0.1625,0.0419,-19.83
120507,7.42505077613469,7.387296414584221,7.232410932344591,0.496,1.052,0.0675,-0.0004,-0.1
120841,16.837098075385626,17.25023345537946,13.522349085511554,0.494,0.863,0.1304,0.0364,-17.57
120842,22.50195657587366,7.748659555611881,6.696806255006482,0.076,0.125,0.078,0.0181,-24.0
120843,26.657081760850154,29.552134060824443,30.883325525154603,1.307,2.364,0.2733,-0.0228,-12.97
120844,7.120323042122512,6.6896622224567714,6.91037983940288,-0.089,-0.188,0.0646,-0.0004,-0.12
125497,28.67535802656873,18.41620726117941,19.003613208378557,0.776,1.331,0.1773,0.0488,-15.2
125498,15.443720834451845,11.234406744015214,11.293660210400969,0.301,0.509,0.1199,0.0091,-21.12
148567,20.360678307711865,33.965137119868835,30.949920362874206,1.448,2.386,0.2698,0.0237,-11.27
148568,14.269394138778924,14.733633408192425,22.499840384352243,0.926,1.633,0.2087,-0.0264,-15.27
148569,39.75176148971702,29.14872861769462,31.924485848158724,1.235,2.147,0.2827,0.0181,-16.4
149322,18.11115252275146,18.026340835702314,13.383520958789363,0.464,0.762,0.1317,-0.0041,-14.84
149323,21.481222193726257,26.842444431705136,29.558105232568344,1.132,1.875,0.266,-0.0025,-17.25
149324,65.13871892998797,26.972732850707693,32.262107528416564,0.95,1.62,0.3006,0.0115,-31.17
